customer_id,first_name,last_name,birthdate,gender,marital_status,id_creation_date,email,phone_number,loyalty_points
cst_aw00001,Kamal,Islam,6/22/1993,Male,Single,12/28/2011,kamal.islam@example.com,1838154478,488
cst_aw00002,Imran,Biswas,7/14/1959,Male,Single,5/17/2020,imran.biswas@example.com,1706418760,362
cst_aw00003,Sonia,Ahmed,2/1/2005,Female,Single,5/20/2019,sonia.ahmed@example.com,1692702204,981
cst_aw00004,Jamal,Islam,7/23/2003,Male,Single,1/28/2017,jamal.islam@example.com,1800690857,1420
cst_aw00005,Fatima,Biswas,2/15/1969,Female,Married,5/22/2019,fatima.biswas@example.com,1639042752,284
cst_aw00006,Rafiq,Khan,6/16/1976,Male,Single,1/31/2016,rafiq.khan@example.com,1952542160,486
cst_aw00007,Sajid,Islam,6/23/1987,Male,Single,6/16/2011,sajid.islam@example.com,1704814002,377
cst_aw00008,Farid,Miah,9/9/1990,Male,Married,9/28/2014,farid.miah@example.com,1616184321,676
cst_aw00009,Hasan,Mollah,4/18/1962,Male,Single,6/11/2013,hasan.mollah@example.com,1803387553,657
cst_aw00010,Md.,Islam,5/3/1986,Male,Single,3/28/2010,md.islam@example.com,1712997697,974
cst_aw00011,Abdul,Mollah,9/25/1955,Male,Single,3/16/2013,abdul.mollah@example.com,1834864304,1632
cst_aw00012,Sajid,Hossain,1/23/1961,Male,Married,3/5/2019,sajid.hossain@example.com,1659818425,654
cst_aw00013,Md.,Ahmed,4/2/1995,Male,Married,6/6/2021,md.ahmed@example.com,1865242254,1700
cst_aw00014,Tahmina,Hossain,4/27/1996,Female,Married,6/18/2013,tahmina.hossain@example.com,1811503121,1057
cst_aw00015,Farid,Chowdhury,1/13/1989,Male,Married,1/23/2011,farid.chowdhury@example.com,1926064457,142
cst_aw00016,Kamal,Hossain,5/22/1986,Male,Married,7/16/2017,kamal.hossain@example.com,1653406888,1828
cst_aw00017,Shahriar,Biswas,6/4/1972,Male,Divorced,9/2/2021,shahriar.biswas@example.com,1643962890,1470
cst_aw00018,Fatima,Ahmed,5/17/1983,Female,Single,10/23/2014,fatima.ahmed@example.com,1502695730,970
cst_aw00019,Md.,Khan,4/6/1990,Male,Married,12/31/2014,md.khan@example.com,1529998183,1992
cst_aw00020,Farid,Sarkar,4/21/1973,Male,Divorced,9/6/2019,farid.sarkar@example.com,1621305214,95
cst_aw00021,Hasan,Biswas,8/26/1995,Male,Single,5/15/2012,hasan.biswas@example.com,1897865075,66
cst_aw00022,Farid,Hossain,2/8/1981,Male,Single,11/24/2013,farid.hossain@example.com,1606650669,215
cst_aw00023,Imran,Biswas,5/5/1983,Male,Single,12/18/2014,imran.biswas@example.com,1705139899,541
cst_aw00024,Sabina,Chowdhury,11/16/1960,Female,Married,11/21/2012,sabina.chowdhury@example.com,1708920383,1648
cst_aw00025,Jamal,Mollah,6/13/2003,Male,Single,4/23/2014,jamal.mollah@example.com,1523107137,1273
cst_aw00026,Hasan,Ahmed,1/8/1977,Male,Single,9/14/2010,hasan.ahmed@example.com,1670891530,666
cst_aw00027,Nusrat,Hossain,6/11/1987,Female,Single,2/11/2011,nusrat.hossain@example.com,1545637476,1005
cst_aw00028,Sajid,Hossain,6/25/2004,Male,Single,2/3/2020,sajid.hossain@example.com,1995378320,1404
cst_aw00029,Abdul,Rahman,8/29/1995,Male,Single,2/4/2014,abdul.rahman@example.com,1701704944,1892
cst_aw00030,Nusrat,Miah,3/15/1997,Female,Single,9/29/2017,nusrat.miah@example.com,1701211728,1016
cst_aw00031,Shahriar,Miah,7/22/1976,Male,Married,3/17/2019,shahriar.miah@example.com,1876353127,825
cst_aw00032,Rafiq,Miah,12/11/2003,Male,Married,6/19/2019,rafiq.miah@example.com,1643785790,958
cst_aw00033,Hasan,Rahman,4/25/1979,Male,Married,6/10/2016,hasan.rahman@example.com,1548175423,204
cst_aw00034,Farid,Mollah,7/31/1987,Male,Married,8/30/2021,farid.mollah@example.com,1994941383,1566
cst_aw00035,Rafiq,Mollah,12/26/1992,Male,Divorced,3/21/2017,rafiq.mollah@example.com,1728986778,398
cst_aw00036,Ayesha,Mollah,10/13/1966,Female,Married,2/11/2020,ayesha.mollah@example.com,1858964469,34
cst_aw00037,Jamal,Mollah,12/2/1962,Male,Single,9/15/2018,jamal.mollah@example.com,1559080915,443
cst_aw00038,Fatima,Islam,5/24/1957,Female,Married,6/25/2013,fatima.islam@example.com,1961403060,31
cst_aw00039,Md.,Ahmed,2/13/1962,Male,Single,4/18/2017,md.ahmed@example.com,1949848897,457
cst_aw00040,Mim,Sarkar,5/28/2005,Female,Married,12/8/2021,mim.sarkar@example.com,1655626038,947
cst_aw00041,Sajid,Hossain,11/19/1998,Male,Single,12/26/2011,sajid.hossain@example.com,1606711534,1405
cst_aw00042,Sabina,Sarkar,11/16/1956,Female,Married,9/25/2013,sabina.sarkar@example.com,1805122753,1486
cst_aw00043,Imran,Biswas,3/3/2005,Male,Single,11/25/2019,imran.biswas@example.com,1578538246,287
cst_aw00044,Jannat,Khan,1/9/1996,Female,Single,1/8/2021,jannat.khan@example.com,1510394588,646
cst_aw00045,Imran,Rahman,11/22/1985,Male,Single,2/5/2022,imran.rahman@example.com,1809395838,1413
cst_aw00046,Fatima,Chowdhury,12/21/1982,Female,Married,10/29/2012,fatima.chowdhury@example.com,1968707126,918
cst_aw00047,Sabina,Rahman,12/12/1982,Female,Married,5/22/2018,sabina.rahman@example.com,1939313593,1802
cst_aw00048,Jannat,Rahman,3/26/1982,Female,Married,7/28/2014,jannat.rahman@example.com,1604296455,1131
cst_aw00049,Sabina,Chowdhury,6/14/1974,Female,Married,4/10/2011,sabina.chowdhury@example.com,1958313385,936
cst_aw00050,Rafiq,Sarkar,8/30/1993,Male,Married,6/3/2011,rafiq.sarkar@example.com,1999529845,1720
cst_aw00051,Rina,Rahman,1/30/1964,Female,Single,5/29/2011,rina.rahman@example.com,1522930681,336
cst_aw00052,Md.,Biswas,3/12/1966,Male,Single,12/22/2020,md.biswas@example.com,1775227764,1334
cst_aw00053,Ayesha,Ahmed,10/1/1984,Female,Married,10/31/2022,ayesha.ahmed@example.com,1958207791,1962
