salesperson_id,first_name,last_name,gender,date_joined,email_id,outlet_id
sp_00001,Farid,Rahman,Male,5/5/2021,farid.rahman1@xyzstore.com,store_00010
sp_00002,Jannat,Rahman,Female,9/16/2020,jannat.rahman2@xyzstore.com,store_00053
sp_00003,Abdul,Sarkar,Male,8/18/2022,abdul.sarkar3@xyzstore.com,store_00040
sp_00004,Sonia,Khan,Female,7/7/2024,sonia.khan4@xyzstore.com,store_00012
sp_00005,Rafiq,Ahmed,Male,4/21/2020,rafiq.ahmed5@xyzstore.com,store_00033
sp_00006,Hasan,Biswas,Male,12/24/2019,hasan.biswas6@xyzstore.com,store_00009
sp_00007,Farid,Rahman,Male,5/29/2021,farid.rahman7@xyzstore.com,store_00031
sp_00008,Jannat,Islam,Female,5/18/2024,jannat.islam8@xyzstore.com,store_00044
sp_00009,Jamal,Mollah,Male,6/19/2024,jamal.mollah9@xyzstore.com,store_00004
sp_00010,Jannat,Miah,Female,1/30/2024,jannat.miah10@xyzstore.com,store_00051
sp_00011,Imran,Islam,Male,1/24/2022,imran.islam11@xyzstore.com,store_00012
sp_00012,Nusrat,Khan,Female,4/18/2023,nusrat.khan12@xyzstore.com,store_00027
sp_00013,Shahriar,Biswas,Male,1/7/2024,shahriar.biswas13@xyzstore.com,store_00021
sp_00014,Jamal,Rahman,Male,6/2/2022,jamal.rahman14@xyzstore.com,store_00046
sp_00015,Jannat,Mollah,Female,5/25/2021,jannat.mollah15@xyzstore.com,store_00055
sp_00016,Md.,Hossain,Male,12/13/2024,md.hossain16@xyzstore.com,store_00018
sp_00017,Mim,Islam,Female,5/12/2020,mim.islam17@xyzstore.com,store_00053
sp_00018,Ayesha,Chowdhury,Female,10/11/2020,ayesha.chowdhury18@xyzstore.com,store_00013
sp_00019,Lina,Khan,Female,12/1/2020,lina.khan19@xyzstore.com,store_00038
sp_00020,Rina,Islam,Female,1/2/2025,rina.islam20@xyzstore.com,store_00006
sp_00021,Hasan,Islam,Male,4/12/2020,hasan.islam21@xyzstore.com,store_00015
sp_00022,Jannat,Mollah,Female,3/20/2024,jannat.mollah22@xyzstore.com,store_00004
sp_00023,Rafiq,Hossain,Male,9/4/2024,rafiq.hossain23@xyzstore.com,store_00016
sp_00024,Rina,Ahmed,Female,10/25/2022,rina.ahmed24@xyzstore.com,store_00023
sp_00025,Imran,Biswas,Male,2/10/2023,imran.biswas25@xyzstore.com,store_00023
sp_00026,Nusrat,Rahman,Female,9/17/2023,nusrat.rahman26@xyzstore.com,store_00026
sp_00027,Sajid,Mollah,Male,2/7/2022,sajid.mollah27@xyzstore.com,store_00056
sp_00028,Jamal,Ahmed,Male,3/3/2024,jamal.ahmed28@xyzstore.com,store_00051
sp_00029,Imran,Sarkar,Male,12/30/2022,imran.sarkar29@xyzstore.com,store_00007
sp_00030,Jamal,Ahmed,Male,8/30/2020,jamal.ahmed30@xyzstore.com,store_00016
sp_00031,Ayesha,Khan,Female,9/23/2022,ayesha.khan31@xyzstore.com,store_00032
sp_00032,Lina,Khan,Female,12/3/2023,lina.khan32@xyzstore.com,store_00003
sp_00033,Hasan,Biswas,Male,11/12/2020,hasan.biswas33@xyzstore.com,store_00023
sp_00034,Fatima,Mollah,Female,9/9/2020,fatima.mollah34@xyzstore.com,store_00049
sp_00035,Abdul,Biswas,Male,3/15/2021,abdul.biswas35@xyzstore.com,store_00031
sp_00036,Sonia,Biswas,Female,2/25/2020,sonia.biswas36@xyzstore.com,store_00048
sp_00037,Sajid,Khan,Male,9/21/2024,sajid.khan37@xyzstore.com,store_00022
sp_00038,Shahriar,Miah,Male,8/9/2020,shahriar.miah38@xyzstore.com,store_00012
sp_00039,Farid,Hossain,Male,7/12/2021,farid.hossain39@xyzstore.com,store_00054
sp_00040,Nusrat,Miah,Female,4/19/2020,nusrat.miah40@xyzstore.com,store_00052
sp_00041,Sabina,Chowdhury,Female,5/1/2021,sabina.chowdhury41@xyzstore.com,store_00038
sp_00042,Rina,Mollah,Female,8/3/2021,rina.mollah42@xyzstore.com,store_00027
sp_00043,Jamal,Islam,Male,7/11/2022,jamal.islam43@xyzstore.com,store_00046
sp_00044,Ayesha,Islam,Female,4/1/2024,ayesha.islam44@xyzstore.com,store_00013
sp_00045,Mim,Chowdhury,Female,9/11/2022,mim.chowdhury45@xyzstore.com,store_00004
sp_00046,Nusrat,Miah,Female,2/7/2025,nusrat.miah46@xyzstore.com,store_00037
sp_00047,Imran,Khan,Male,10/18/2021,imran.khan47@xyzstore.com,store_00007
sp_00048,Md.,Chowdhury,Male,1/3/2021,md.chowdhury48@xyzstore.com,store_00036
sp_00049,Jannat,Mollah,Female,1/6/2023,jannat.mollah49@xyzstore.com,store_00042
sp_00050,Nusrat,Biswas,Female,5/16/2020,nusrat.biswas50@xyzstore.com,store_00006
sp_00051,Shahriar,Mollah,Male,6/19/2022,shahriar.mollah51@xyzstore.com,store_00035
sp_00052,Md.,Mollah,Male,8/1/2022,md.mollah52@xyzstore.com,store_00014
sp_00053,Fatima,Sarkar,Female,10/26/2023,fatima.sarkar53@xyzstore.com,store_00047
sp_00054,Shahriar,Biswas,Male,9/26/2020,shahriar.biswas54@xyzstore.com,store_00046
sp_00055,Sabina,Chowdhury,Female,5/14/2023,sabina.chowdhury55@xyzstore.com,store_00019
sp_00056,Fatima,Chowdhury,Female,11/23/2022,fatima.chowdhury56@xyzstore.com,store_00034
sp_00057,Tahmina,Chowdhury,Female,1/12/2021,tahmina.chowdhury57@xyzstore.com,store_00043
sp_00058,Hasan,Khan,Male,1/7/2020,hasan.khan58@xyzstore.com,store_00016
sp_00059,Imran,Khan,Male,7/19/2024,imran.khan59@xyzstore.com,store_00039
sp_00060,Kamal,Ahmed,Male,12/13/2024,kamal.ahmed60@xyzstore.com,store_00026
sp_00061,Sajid,Chowdhury,Male,5/19/2024,sajid.chowdhury61@xyzstore.com,store_00022
sp_00062,Kamal,Islam,Male,6/11/2020,kamal.islam62@xyzstore.com,store_00005
sp_00063,Sabina,Miah,Female,12/3/2022,sabina.miah63@xyzstore.com,store_00001
sp_00064,Rina,Miah,Female,11/29/2022,rina.miah64@xyzstore.com,store_00006
sp_00065,Rina,Hossain,Female,3/10/2021,rina.hossain65@xyzstore.com,store_00026
sp_00066,Abdul,Miah,Male,9/30/2021,abdul.miah66@xyzstore.com,store_00020
sp_00067,Jannat,Islam,Female,8/27/2024,jannat.islam67@xyzstore.com,store_00051
sp_00068,Md.,Sarkar,Male,6/11/2020,md.sarkar68@xyzstore.com,store_00039
sp_00069,Rina,Rahman,Female,6/22/2022,rina.rahman69@xyzstore.com,store_00043
sp_00070,Sabina,Mollah,Female,9/12/2020,sabina.mollah70@xyzstore.com,store_00010
sp_00071,Rina,Chowdhury,Female,10/16/2024,rina.chowdhury71@xyzstore.com,store_00034
sp_00072,Fatima,Biswas,Female,3/30/2020,fatima.biswas72@xyzstore.com,store_00035
sp_00073,Shahriar,Biswas,Male,12/24/2024,shahriar.biswas73@xyzstore.com,store_00039
sp_00074,Sabina,Hossain,Female,8/4/2023,sabina.hossain74@xyzstore.com,store_00014
sp_00075,Rafiq,Rahman,Male,12/1/2022,rafiq.rahman75@xyzstore.com,store_00020
sp_00076,Rafiq,Khan,Male,2/27/2022,rafiq.khan76@xyzstore.com,store_00010
sp_00077,Rafiq,Ahmed,Male,9/23/2020,rafiq.ahmed77@xyzstore.com,store_00045
